"community_ID";"community_long_ID";"community_name";"electoral_district";"population";"eligible_voters_2011";"voters_2011";"turnout_2011";"green_percent_2011";"proportion_male";"proportion_female";"proportion_german";"proportion_under18";"proportion_18to64";"proportion_over65"
8119090;"08119090 Remshalden";"Remshalden";"Schorndorf";"13385";10215;7805;0,764072442486539;0,227756160830091;0,492342174075458;0,507657825924542;0,924019424729174;0,171161748225626;0,614717967874486;0,214120283899888
8119091;"08119091 Weinstadt, Stadt";"Weinstadt, Stadt";"Schorndorf";"25957";18788;14448;0,769001490312966;0,22512063780684;0,485495242131217;0,514504757868783;0,895596563547405;0,18095311476673;0,607889971876565;0,211156913356705
8119093;"08119093 Kernen im Remstal";"Kernen im Remstal";"Schorndorf";"14745";11136;8178;0,734375;0,234421364985163;0,492641573414717;0,507358426585283;0,909121736181757;0,170701932858596;0,622109189555782;0,207188877585622
8121000;"08121000 Heilbronn, Stadt";"Heilbronn, Stadt";"Heilbronn";"116059";78140;46583;0,596147939595598;0,21368042696874;0,490276497298788;0,509723502701212;0,814146253198804;0,172722494593267;0,62132191385416;0,205955591552572
8125001;"08125001 Abstatt";"Abstatt";"Eppingen";"4466";3305;2475;0,748865355521936;0,15903515944399;0,49731303179579;0,502463054187192;0,920958351992835;0,19256605463502;0,648678907299597;0,158531124048365
8125005;"08125005 Bad Friedrichshall, Stadt";"Bad Friedrichshall, Stadt";"Neckarsulm";"18142";12470;7302;0,585565356856455;0,186169472658968;0,49801565428288;0,502039466431485;0,86115092051593;0,20091500385845;0,647282548781832;0,151857568074082
8125006;"08125006 Bad Rappenau, Stadt";"Bad Rappenau, Stadt";"Eppingen";"20017";15529;9209;0,593019511880997;0,17764537128986;0,48583703851726;0,51416296148274;0,924114502672728;0,175800569515911;0,623420092921017;0,200779337563071
8125007;"08125007 Bad Wimpfen, Stadt";"Bad Wimpfen, Stadt";"Neckarsulm";"6753";5049;3350;0,663497722321252;0,214285714285714;0,494150747815786;0,505849252184214;0,897378942692137;0,161261661483785;0,61380127350807;0,224937065008145
8125008;"08125008 Beilstein, Stadt";"Beilstein, Stadt";"Eppingen";"6100";4555;3439;0,754994511525796;0,236593989393047;0,492786885245902;0,507377049180328;0,897049180327869;0,165245901639344;0,616229508196721;0,218688524590164
8125013;"08125013 Brackenheim, Stadt";"Brackenheim, Stadt";"Eppingen";"14960";10924;7614;0,696997436836324;0,227018385291767;0,493716577540107;0,506417112299465;0,910695187165775;0,201403743315508;0,633155080213904;0,16557486631016
8125017;"08125017 Cleebronn";"Cleebronn";"Eppingen";"2670";1927;1408;0,730669434353918;0,184381778741866;0,506367041198502;0,492883895131086;0,909737827715356;0,202996254681648;0,636329588014981;0,159925093632959
8125021;"08125021 Eberstadt";"Eberstadt";"Neckarsulm";"3116";2374;1657;0,697978096040438;0,215734480639213;0,483311938382542;0,516688061617458;0,93581514762516;0,178433889602054;0,61617458279846;0,205391527599487
8125024;"08125024 Ellhofen";"Ellhofen";"Neckarsulm";"3315";2508;1770;0,705741626794258;0,189635535307517;0,500150829562594;0,499849170437406;0,929110105580694;0,183710407239819;0,650075414781297;0,166214177978884
8125026;"08125026 Eppingen, Stadt";"Eppingen, Stadt";"Eppingen";"20755";15069;9296;0,616895613511182;0,173908284995075;0,492556010599855;0,507492170561311;0,902144061671886;0,19951818838834;0,635220428812334;0,165309563960491
8125027;"08125027 Erlenbach";"Erlenbach";"Neckarsulm";"4910";3790;2763;0,729023746701847;0,172627737226277;0,495723014256619;0,504276985743381;0,922810590631365;0,163543788187373;0,647250509164969;0,189205702647658
8125030;"08125030 Flein";"Flein";"Heilbronn";"6463";5062;3836;0,757803239826156;0,205060622034792;0,477487235030172;0,522358038062819;0,943988859662695;0,169890143896024;0,593841869101037;0,236113260095931
8125034;"08125034 Gemmingen";"Gemmingen";"Eppingen";"4937";3509;2321;0,661442006269592;0,17978021978022;0,501114036864493;0,498683410978327;0,886975896293296;0,195260279521977;0,629734656674094;0,174802511646749
8125038;"08125038 Güglingen, Stadt";"Güglingen, Stadt";"Eppingen";"6023";3785;2538;0,670541611624835;0,183306709265176;0,502075377718745;0,498090652498755;0,800929769217998;0,200896563174498;0,634567491283414;0,164701975759588
8125039;"08125039 Gundelsheim, Stadt";"Gundelsheim, Stadt";"Neckarsulm";"7149";5423;3735;0,688733173520192;0,146082698585419;0,494754511120436;0,505245488879564;0,933417261155406;0,183522170932998;0,614911176388306;0,201566652678696
8125046;"08125046 Ilsfeld";"Ilsfeld";"Eppingen";"8599";6174;4587;0,742954324586978;0,208645787384208;0,495755320386091;0,504128387021747;0,896848470752413;0,192347947435748;0,638097453192232;0,169438306779858
8125047;"08125047 Ittlingen";"Ittlingen";"Eppingen";"2368";1657;1109;0,669281834640917;0,163023679417122;0,507179054054054;0,492398648648649;0,893158783783784;0,211570945945946;0,625;0,163006756756757
8125048;"08125048 Jagsthausen";"Jagsthausen";"Neckarsulm";"1610";1083;740;0,683287165281625;0,235294117647059;0,490062111801242;0,509937888198758;0,862111801242236;0,193788819875776;0,621739130434783;0,184472049689441
8125049;"08125049 Kirchardt";"Kirchardt";"Eppingen";"5403";3782;2130;0,563194077207827;0,165556612749762;0,500277623542476;0,499722376457524;0,908754395706089;0,220988339811216;0,622431982232093;0,156579677956691
8125056;"08125056 Lauffen am Neckar, Stadt";"Lauffen am Neckar, Stadt";"Eppingen";"10842";7780;5471;0,703213367609254;0,241634313181734;0,485980446412101;0,513927319682715;0,885261021951669;0,184560044272274;0,6306032097399;0,184744512082642
